AppointmentID,AppointmentDateTime,PatientID,NHS_ID,PatientFirstName,PatientLastName,PatientDOB,PatientPostcode,ClinicName,Specialty,ProviderID,ProviderName,DiagnosisCode,DiagnosisDescription,AppointmentStatus
A1020,12/07/2025 08:00,P532,8062626423,Chelsea,Isaac,09/03/1999,NP31 9OE,Morriston Hospital,Neurology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,DNA
A1021,12/07/2025 08:00,P514,6821788588,Pauline,Quinlan,17/10/1948,NP18 8LX,Royal Glamorgan,Dermatology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",DNA
A1022,12/07/2025 08:00,P502,4495005286,Ruth,Nozum,26/01/1957,CF26 8DQ,Royal Glamorgan,Dermatology,D21,Dr. Evans,J45.9,"Asthma, unspecified",DNA
A1023,12/07/2025 08:00,P529,6139499917,Sara,Taylor,23/05/1965,LL19 6LZ,Singleton Hospital,Oncology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1024,12/07/2025 08:00,P590,855246952,Alta,Corley,24/11/1993,LL15 4KD,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1025,12/07/2025 08:00,P575,6822603581,Dorothy,Perry,01/05/1970,SA20 5NG,Prince Charles,Orthopaedics,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1026,12/07/2025 08:00,P582,2168718547,Justin,Bass,05/03/1993,SA25 3RL,Royal Glamorgan,Dermatology,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,Attended
A1027,12/07/2025 08:00,P524,6042067729,Steven,Taylor,15/04/1973,LL23 3UR,Morriston Hospital,Neurology,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,Attended
A1028,12/07/2025 08:01,P581,7702321369,Edwina,Barbeau,10/02/1977,NP18 1PK,Singleton Hospital,Oncology,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,Attended
A1029,12/07/2025 08:01,P565,8925070820,Michael,Gordon,11/12/1946,NP39 2UG,Prince Charles,Orthopaedics,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,Attended
A1030,12/07/2025 08:01,P570,2367876150,Denise,Shaw,14/09/1974,NP23 1OE,Singleton Hospital,Oncology,D67,Dr. Williams,E11.9,Type 2 diabetes mellitus without complications,DNA
A1031,12/07/2025 08:01,P556,9540947723,Monica,Hall,21/06/1962,SA35 6JS,University Hospital,Cardiology,D45,Dr. Jones,M54.5,Low back pain,DNA
A1032,12/07/2025 08:01,P587,6897290408,Mary,Strong,05/12/1946,CF34 5HH,Royal Glamorgan,Gastroenterology,D88,Dr. Davies,I10,Essential hypertension,Attended
A1033,12/07/2025 08:01,P505,2593196572,Cherie,Winters,20/04/1991,CF34 9HF,Singleton Hospital,Oncology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",Attended
A1034,12/07/2025 08:01,P638,8151639571,Ada,Dietrich,10/03/1991,NP31 1OM,Singleton Hospital,Oncology,D45,Dr. Jones,I10,Essential hypertension,DNA
A1035,12/07/2025 08:01,P645,5531756,Scott,Mccatty,04/01/1988,NP28 6FN,Singleton Hospital,Oncology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,Attended
A1036,12/07/2025 08:01,P529,6139499917,Sara,Taylor,23/05/1965,LL19 6LZ,Royal Glamorgan,Dermatology,D88,Dr. Davies,M54.5,Low back pain,Attended
A1037,12/07/2025 08:01,P601,827449925,Steven,Evans,11/01/1986,LL28 4DL,University Hospital,Cardiology,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,Attended
A1038,12/07/2025 08:01,P512,7433553576,Joseph,Vlashi,22/10/1997,LL40 8LS,Royal Glamorgan,Dermatology,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1039,12/07/2025 08:01,P585,5181725570,Karen,Woolsey,04/07/1958,NP19 1ZF,Royal Glamorgan,Dermatology,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1040,12/07/2025 08:02,P593,2321818875,James,Vega,16/11/1949,LL12 5DK,University Hospital,Cardiology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1041,12/07/2025 08:02,P511,7973101497,Brian,Henderson,26/11/1959,LL30 3YQ,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1042,12/07/2025 08:02,P602,7590961736,Jeannette,Barry,06/09/1970,SA25 3GP,Singleton Hospital,Oncology,D88,Dr. Davies,M54.5,Low back pain,Attended
A1043,12/07/2025 08:02,P630,4145185625,Jesse,Castillo,08/07/1975,LL21 6EI,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1044,12/07/2025 08:02,P587,6897290408,Mary,Strong,05/12/1946,CF34 5HH,Morriston Hospital,Neurology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1045,12/07/2025 08:02,P583,2509593560,Ashley,Begley,24/04/1975,SA12 4HV,Prince Charles,Orthopaedics,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1046,12/07/2025 08:02,P584,8187728574,Paul,Sweeney,23/04/1982,SA13 4YY,Prince Charles,Orthopaedics,D88,Dr. Davies,I10,Essential hypertension,Attended
A1047,12/07/2025 08:02,P591,3257192991,Raymond,Lee,17/11/1954,CF24 5MJ,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,J45.9,"Asthma, unspecified",DNA
A1048,12/07/2025 08:02,P592,4757300123,Martina,Metzler,26/02/1957,CF36 1OI,Morriston Hospital,Neurology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1049,12/07/2025 08:02,P513,9301227452,Angela,Kasack,15/07/1987,NP29 2SO,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1050,12/07/2025 08:02,P523,7931708075,Kenneth,Valenti,28/12/2009,NP40 6OR,Prince Charles,Orthopaedics,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1051,12/07/2025 08:02,P543,4974808842,Shay,Ketterman,22/06/1942,NP11 8UI,Singleton Hospital,Oncology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",DNA
A1052,12/07/2025 08:03,P504,8245767859,Lois,Mckinney,10/10/1940,NP31 8PL,University Hospital,Cardiology,D67,Dr. Williams,E11.9,Type 2 diabetes mellitus without complications,Attended
A1053,12/07/2025 08:03,P631,976469405,Princess,Danforth,16/04/1963,SA16 1KQ,Morriston Hospital,Neurology,D67,Dr. Williams,K21.9,Gastro-oesophageal reflux disease,Attended
A1054,12/07/2025 08:03,P621,2822217912,Eunice,Terrell,17/12/1951,NP32 6TP,Morriston Hospital,Neurology,D88,Dr. Davies,M54.5,Low back pain,DNA
A1055,12/07/2025 08:03,P620,8452565682,John,Burk,23/02/1943,CF19 7ZU,Royal Glamorgan,Dermatology,D12,Dr. Thomas,S82.1,Fracture of upper end of tibia,Attended
A1056,12/07/2025 08:03,P595,9026757298,Inez,Riley,19/05/2002,LL25 5ZB,Morriston Hospital,Neurology,D21,Dr. Evans,L20.9,"Atopic dermatitis, unspecified",Attended
A1057,12/07/2025 08:03,P517,2822421706,Chelsea,Steward,07/09/1981,CF35 6KW,Morriston Hospital,Neurology,D88,Dr. Davies,K21.9,Gastro-oesophageal reflux disease,Attended
A1058,12/07/2025 08:03,P572,1306852110,Stanley,Potter,16/04/1944,CF35 2QI,University Hospital,Cardiology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,DNA
A1059,12/07/2025 08:03,P600,5642730460,Jacquelyn,Garcia,19/11/1970,SA28 6EE,Morriston Hospital,Neurology,D67,Dr. Williams,E11.9,Type 2 diabetes mellitus without complications,Attended
A1060,12/07/2025 08:03,P590,855246952,Alta,Corley,24/11/1993,LL15 4KD,Singleton Hospital,Oncology,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,DNA
A1061,12/07/2025 08:03,P507,2951544375,Henry,Engle,08/01/1953,NP15 1CC,Morriston Hospital,Neurology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",Attended
A1062,12/07/2025 08:03,P624,3291026586,Christopher,Singletary,20/09/1967,LL13 8JN,Singleton Hospital,Oncology,D12,Dr. Thomas,J45.9,"Asthma, unspecified",DNA
A1063,12/07/2025 08:03,P615,8723236981,Monique,Stewart,11/05/1948,CF10 2JM,Morriston Hospital,Neurology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1064,12/07/2025 08:04,P580,9701599314,Henry,Hatfield,06/04/1999,NP18 5KP,Morriston Hospital,Neurology,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1065,12/07/2025 08:04,P632,8796758546,Ralph,Merkerson,17/10/1970,CF35 1MV,Morriston Hospital,Neurology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1066,12/07/2025 08:04,P617,3021611419,Charles,Payne,04/12/1984,SA39 3MB,Singleton Hospital,Oncology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,DNA
A1067,12/07/2025 08:04,P503,9979306688,Duane,Mckoy,21/06/1950,CF14 4QW,University Hospital,Cardiology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",DNA
A1068,12/07/2025 08:04,P641,2028242523,Hector,Somers,05/03/1946,NP10 9UI,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
A1069,12/07/2025 08:04,P601,827449925,Steven,Evans,11/01/1986,LL28 4DL,Singleton Hospital,Oncology,D45,Dr. Jones,J45.9,"Asthma, unspecified",Attended
A1070,12/07/2025 08:04,P511,7973101497,Brian,Henderson,26/11/1959,LL30 3YQ,Prince Charles,Orthopaedics,D21,Dr. Evans,M54.5,Low back pain,Attended
A1071,12/07/2025 08:04,P600,5642730460,Jacquelyn,Garcia,19/11/1970,SA28 6EE,Prince Charles,Orthopaedics,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1072,12/07/2025 08:04,P618,4367970124,John,Byrd,09/06/2006,NP40 2TB,Royal Glamorgan,Dermatology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",DNA
A1073,12/07/2025 08:04,P583,2509593560,Ashley,Begley,24/04/1975,SA12 4HV,Prince Charles,Orthopaedics,D33,Dr. Roberts,E11.9,Type 2 diabetes mellitus without complications,Attended
A1074,12/07/2025 08:04,P511,7973101497,Brian,Henderson,26/11/1959,LL30 3YQ,Royal Glamorgan,Dermatology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1075,12/07/2025 08:04,P591,3257192991,Raymond,Lee,17/11/1954,CF24 5MJ,University Hospital,Cardiology,D21,Dr. Evans,E11.9,Type 2 diabetes mellitus without complications,Attended
A1076,12/07/2025 08:05,P646,824745507,Billy,Freedman,02/11/2003,SA16 2EA,Morriston Hospital,Neurology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,Attended
A1077,12/07/2025 08:05,P589,974768847,Kathi,Valente,15/02/1958,CF17 1RK,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,S82.1,Fracture of upper end of tibia,Attended
A1078,12/07/2025 08:05,P627,2147124745,Emma,Viola,09/02/1954,NP21 3TS,University Hospital,Cardiology,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1079,12/07/2025 08:05,P540,7807390581,Martha,Shuck,05/06/1978,LL11 3SR,Royal Glamorgan,Dermatology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1080,12/07/2025 08:05,P500,8309129815,Jeff,Stachura,01/10/1943,CF29 5IE,Morriston Hospital,Neurology,D21,Dr. Evans,M54.5,Low back pain,Attended
A1081,12/07/2025 08:05,P559,6256726596,Anthony,Jenkins,09/10/1963,CF16 9VX,Morriston Hospital,Neurology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1082,12/07/2025 08:05,P605,8137629831,Marie,Andaya,02/01/1965,LL33 7BE,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,DNA
A1083,12/07/2025 08:05,P640,2375880110,Michael,Weller,06/08/1971,CF36 8DI,University Hospital,Cardiology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1084,12/07/2025 08:05,P526,1874814481,Joan,Dubose,19/11/1956,LL18 1GK,Morriston Hospital,Neurology,D33,Dr. Roberts,I10,Essential hypertension,Attended
A1085,12/07/2025 08:05,P613,7784616562,Arthur,Parson,19/11/1958,LL40 3WD,Morriston Hospital,Neurology,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,Attended
A1086,12/07/2025 08:05,P601,827449925,Steven,Evans,11/01/1986,LL28 4DL,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",DNA
A1087,12/07/2025 08:05,P645,5531756,Scott,Mccatty,04/01/1988,NP28 6FN,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,L20.9,"Atopic dermatitis, unspecified",Attended
A1088,12/07/2025 08:06,P519,6076995270,Enriqueta,Green,23/01/1957,LL37 1NX,Royal Glamorgan,Dermatology,D21,Dr. Evans,J45.9,"Asthma, unspecified",Attended
A1089,12/07/2025 08:06,P620,8452565682,John,Burk,23/02/1943,CF19 7ZU,Singleton Hospital,Oncology,D67,Dr. Williams,M54.5,Low back pain,DNA
A1090,12/07/2025 08:06,P500,8309129815,Jeff,Stachura,01/10/1943,CF29 5IE,Prince Charles,Orthopaedics,D21,Dr. Evans,E11.9,Type 2 diabetes mellitus without complications,Attended
A1091,12/07/2025 08:06,P537,7695140767,Michael,Hendrick,22/02/1948,NP20 9WE,University Hospital,Cardiology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,DNA
A1092,12/07/2025 08:06,P501,8470876023,Ellen,Robinson,15/11/1993,NP38 4YS,Prince Charles,Orthopaedics,D67,Dr. Williams,I10,Essential hypertension,DNA
A1093,12/07/2025 08:06,P512,7433553576,Joseph,Vlashi,22/10/1997,LL40 8LS,Morriston Hospital,Neurology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",Attended
A1094,12/07/2025 08:06,P545,8606298530,Roselyn,Hoeft,08/01/1960,NP27 7LN,Morriston Hospital,Neurology,D12,Dr. Thomas,J45.9,"Asthma, unspecified",Attended
A1095,12/07/2025 08:06,P638,8151639571,Ada,Dietrich,10/03/1991,NP31 1OM,Morriston Hospital,Neurology,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,DNA
A1096,12/07/2025 08:06,P585,5181725570,Karen,Woolsey,04/07/1958,NP19 1ZF,Morriston Hospital,Neurology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1097,12/07/2025 08:06,P634,3966409496,Michael,Brooks,19/08/1970,LL11 6HL,Singleton Hospital,Oncology,D12,Dr. Thomas,J45.9,"Asthma, unspecified",Attended
A1098,12/07/2025 08:06,P593,2321818875,James,Vega,16/11/1949,LL12 5DK,Morriston Hospital,Neurology,D33,Dr. Roberts,K21.9,Gastro-oesophageal reflux disease,Attended
A1099,12/07/2025 08:06,P587,6897290408,Mary,Strong,05/12/1946,CF34 5HH,Singleton Hospital,Oncology,D45,Dr. Jones,E11.9,Type 2 diabetes mellitus without complications,Attended
A1100,12/07/2025 08:07,P536,6691186486,Rose,Parker,02/01/1956,SA16 7KW,Prince Charles,Orthopaedics,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1101,12/07/2025 08:07,P531,3900866457,Eugene,Rhodes,11/05/1965,CF30 6NZ,Singleton Hospital,Oncology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1102,12/07/2025 08:07,P577,4550488476,Lucio,Basso,04/12/1988,SA25 8FR,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,M54.5,Low back pain,Attended
A1103,12/07/2025 08:07,P594,9653540300,Marvin,Lara,04/01/1992,LL26 3LL,Singleton Hospital,Oncology,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1104,12/07/2025 08:07,P500,8309129815,Jeff,Stachura,01/10/1943,CF29 5IE,University Hospital,Cardiology,D21,Dr. Evans,M54.5,Low back pain,Attended
A1105,12/07/2025 08:07,P628,6755009776,Mitchell,Cantrell,24/09/2010,CF32 5RW,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1106,12/07/2025 08:07,P586,8696567315,George,Nicholson,11/05/1989,CF21 5TY,Prince Charles,Orthopaedics,D12,Dr. Thomas,S82.1,Fracture of upper end of tibia,Attended
A1107,12/07/2025 08:07,P530,29473128,Jason,Brady,02/10/2007,LL18 9EG,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,E11.9,Type 2 diabetes mellitus without complications,Attended
A1108,12/07/2025 08:07,P617,3021611419,Charles,Payne,04/12/1984,SA39 3MB,Prince Charles,Orthopaedics,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1109,12/07/2025 08:07,P518,2369184264,Mark,Scott,23/09/1990,CF38 6NR,Royal Glamorgan,Gastroenterology,D45,Dr. Jones,L20.9,"Atopic dermatitis, unspecified",Attended
A1110,12/07/2025 08:07,P561,4898332501,Andreas,Hughey,02/08/1968,NP35 1LZ,Morriston Hospital,Neurology,D88,Dr. Davies,M54.5,Low back pain,Attended
A1111,12/07/2025 08:07,P502,4495005286,Ruth,Nozum,26/01/1957,CF26 8DQ,Morriston Hospital,Neurology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1112,12/07/2025 08:08,P513,9301227452,Angela,Kasack,15/07/1987,NP29 2SO,University Hospital,Cardiology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1113,12/07/2025 08:08,P568,9819640601,Hilario,Laperle,18/10/1960,CF15 9QF,Morriston Hospital,Neurology,D67,Dr. Williams,J45.9,"Asthma, unspecified",DNA
A1114,12/07/2025 08:08,P568,9819640601,Hilario,Laperle,18/10/1960,CF15 9QF,Prince Charles,Orthopaedics,D21,Dr. Evans,J45.9,"Asthma, unspecified",Attended
A1115,12/07/2025 08:08,P564,6687662201,Jamie,Morris,09/09/2004,CF19 6UZ,Singleton Hospital,Oncology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1116,12/07/2025 08:08,P502,4495005286,Ruth,Nozum,26/01/1957,CF26 8DQ,Royal Glamorgan,Dermatology,D33,Dr. Roberts,J45.9,"Asthma, unspecified",DNA
A1001,12/07/2025 08:10,P570,4609634104,Vivian,Wallace,04/11/1943,SA33 6CQ,University Hospital,Cardiology,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,DNA
A1002,12/07/2025 08:10,P522,6694553803,Jim,Hanauer,11/07/1961,NP18 6SF,Royal Glamorgan,Dermatology,D45,Dr. Jones,J45.9,"Asthma, unspecified",Attended
A1003,12/07/2025 08:10,P595,7351921202,Mark,Worek,21/06/1970,NP13 3BR,University Hospital,Cardiology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1004,12/07/2025 08:10,P633,3072400741,Jeffrey,Foslien,06/09/1996,LL14 5JD,University Hospital,Cardiology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1005,12/07/2025 08:10,P535,9542397879,Marilyn,Bell,08/09/2001,CF28 9YY,Royal Glamorgan,Dermatology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1006,12/07/2025 08:10,P506,8037975193,Elizabeth,Smith,01/05/1941,NP21 1WV,Singleton Hospital,Oncology,D88,Dr. Davies,M54.5,Low back pain,Attended
A1007,12/07/2025 08:10,P579,3205357434,Ryan,Johnson,28/09/1953,LL10 7ZC,Royal Glamorgan,Dermatology,D88,Dr. Davies,L20.9,"Atopic dermatitis, unspecified",DNA
A1008,12/07/2025 08:10,P510,8627669546,Michael,Rutter,21/11/1989,LL29 6QK,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1009,12/07/2025 08:10,P578,5323181974,Mark,Anderson,07/07/1950,NP21 9WS,Royal Glamorgan,Gastroenterology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1010,12/07/2025 08:10,P521,6245283485,Peggy,Rumble,20/06/1948,LL20 6ZE,Singleton Hospital,Oncology,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
A1011,12/07/2025 08:10,P567,8860164907,Deanna,Tronaas,02/12/2003,NP18 6WW,Royal Glamorgan,Dermatology,D67,Dr. Williams,K21.9,Gastro-oesophageal reflux disease,Attended
A1012,12/07/2025 08:10,P520,8146085482,Joshua,Jordan,20/03/2003,CF31 5NM,Royal Glamorgan,Dermatology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1013,12/07/2025 08:10,P578,5323181974,Mark,Anderson,07/07/1950,NP21 9WS,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1014,12/07/2025 08:10,P614,6427198327,Dave,Rupp,28/11/1952,CF11 8GL,Prince Charles,Orthopaedics,D12,Dr. Thomas,J45.9,"Asthma, unspecified",DNA
A1015,12/07/2025 08:10,P563,8722401334,Mabel,Conrad,06/07/1950,NP38 3YR,Singleton Hospital,Oncology,D45,Dr. Jones,I10,Essential hypertension,Attended
A1016,12/07/2025 08:10,P528,4400238679,Jamie,Griffis,01/11/1967,NP21 6TT,University Hospital,Cardiology,D45,Dr. Jones,I10,Essential hypertension,Attended
A1017,12/07/2025 08:10,P619,490375316,Lynn,Mclaughlin,22/01/1988,SA23 1UP,Prince Charles,Orthopaedics,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1018,12/07/2025 08:10,P562,3557059626,Betty,Kaur,12/12/1988,CF37 6BB,Morriston Hospital,Neurology,D45,Dr. Jones,S82.1,Fracture of upper end of tibia,Attended
A1019,12/07/2025 08:10,P599,2454405946,Sarah,Powers,28/07/1966,NP28 8QF,Prince Charles,Orthopaedics,D12,Dr. Thomas,K21.9,Gastro-oesophageal reflux disease,Attended
A1020,12/07/2025 08:10,P649,9904870438,Danny,Noland,26/11/1973,NP38 3HP,Royal Glamorgan,Gastroenterology,D33,Dr. Roberts,I10,Essential hypertension,Attended
A1021,12/07/2025 08:10,P542,9117640423,Brenda,Marshall,04/06/1988,LL10 3GF,University Hospital,Cardiology,D88,Dr. Davies,J45.9,"Asthma, unspecified",Attended
A1022,12/07/2025 08:10,P620,1350082724,William,Bradley,05/06/1957,NP19 7JG,Royal Glamorgan,Dermatology,D21,Dr. Evans,L20.9,"Atopic dermatitis, unspecified",Attended
A1023,12/07/2025 08:10,P575,8334569416,Ted,Wright,08/01/1950,SA36 2EY,Morriston Hospital,Neurology,D21,Dr. Evans,E11.9,Type 2 diabetes mellitus without complications,DNA
A1024,12/07/2025 08:10,P562,3557059626,Betty,Kaur,12/12/1988,CF37 6BB,Prince Charles,Orthopaedics,D21,Dr. Evans,M54.5,Low back pain,DNA
A1025,12/07/2025 08:10,P633,3072400741,Jeffrey,Foslien,06/09/1996,LL14 5JD,Morriston Hospital,Neurology,D21,Dr. Evans,I10,Essential hypertension,Attended
A1026,12/07/2025 08:10,P502,9623650574,Kim,Szala,11/02/1968,LL37 2PY,Singleton Hospital,Oncology,D12,Dr. Thomas,M54.5,Low back pain,Attended
A1027,12/07/2025 08:10,P596,522780253,Lillian,Pearson,27/10/1987,NP33 4YB,University Hospital,Cardiology,D45,Dr. Jones,J45.9,"Asthma, unspecified",Attended
A1028,12/07/2025 08:10,P573,497824280,Samuel,Madera,01/03/1988,CF21 8SE,Morriston Hospital,Neurology,D33,Dr. Roberts,S82.1,Fracture of upper end of tibia,DNA
A1029,12/07/2025 08:10,P532,2683198396,Myra,Mcclure,08/05/1969,SA15 3VX,Royal Glamorgan,Dermatology,D67,Dr. Williams,J45.9,"Asthma, unspecified",Attended
